year,imports_usd,gdp_usd,gdp_per_capita_usd,population,inflation_pct,fdi_inflows_usd,manufacturing_share_pct,trade_share_pct,lag_1_exports_usd,lag_1_imports_usd,lag_1_export_growth_pct,region,income_level
2006,116000000.0,292232703.306768,2750.34778600857,106253.0,6.14911606456571,10987468.9682818,6.95544920428461,66.3549884749532,10000000.0,121000000.0,-33.333333333333336,East Asia & Pacific,Upper middle income
2015,72837000000.0,89178548717.3324,16442.0760860018,5423801.0,-0.325219777427673,1520379416.31372,18.8287638047366,179.42602289503,86227000000.0,81549000000.0,0.6137617997456379,Europe & Central Asia,High income
2001,1179180000000.0,10581929774000.0,37133.623113437,284968955.0,2.82617111885407,172496000000.0,13.9193094025158,22.967181335596,781918000000.0,1259300000000.0,,North America,High income
2015,3703000000.0,6166863896.68677,1554.94897871782,3965959.0,3.25472688117631,501726765.733819,7.43834550490809,77.3467864944966,2140000000.0,3642000000.0,-13.11408850994722,Sub-Saharan Africa ,Lower middle income
2012,11346000000.0,39650394362.9287,861.969909667969,47374260.0,16.0010938506338,1799646137.43448,9.43823326401605,54.3689490815138,4735000000.0,10799000000.0,16.884719822266113,Sub-Saharan Africa ,Lower middle income
2007,365000000.0,758683592.592593,6864.54816771858,110522.0,3.85882922469653,165223965.032908,3.59418851083043,,25000000.0,299000000.0,-10.71428571428571,Latin America & Caribbean ,Upper middle income
2006,2127000000.0,5446750000.0,431.034994414964,12636445.0,,40000000.0,16.0141368706109,82.8200302932942,1850000000.0,2346000000.0,-1.9607843137254943,Sub-Saharan Africa ,Lower middle income
2000,612000000.0,4367458866.71537,518.157066924026,8428832.0,,9942000.0,2.58930253651401,36.6796954912881,,,,Sub-Saharan Africa ,Lower middle income
2003,10871000000.0,21144957990.4681,2719.49436859287,7775327.0,2.34864169582755,2096788700.05598,,79.0138853713575,5733000000.0,7954000000.0,12.016412661195774,Europe & Central Asia,High income
2008,1159000000.0,6980000000.0,110268.562401264,63300.0,,171529641.632487,,,27000000.0,1167000000.0,0.0,North America,High income
2008,6528000000.0,16853989627.548,1398.79218010021,12048959.0,7.34720236578406,455739867.976293,17.5393313172084,62.7617698176319,1674000000.0,4871000000.0,5.018820577164362,Sub-Saharan Africa ,Lower middle income
2013,97348000000.0,344631016965.12,61377.5940590412,5614932.0,0.789071780078062,680338945.938662,11.7998537089519,103.612813249189,105469000000.0,91925000000.0,-5.716763212472287,Europe & Central Asia,High income
2012,11371000000.0,18528554397.5695,2126.03474686503,8715076.0,5.19618615531848,1081346795.58821,17.6861395577953,121.188215808285,7977000000.0,11126000000.0,27.34674329501916,Latin America & Caribbean ,Lower middle income
2008,580937000000.0,957901566041.406,58246.7026905874,16445593.0,2.48650198289454,195530109750.281,10.8008764023897,130.152049980117,550755000000.0,492616000000.0,18.792180816989458,Europe & Central Asia,High income
2001,2548000000.0,16810537043.8407,924.727294962066,18178913.0,4.36152914007256,272679900.0,10.7672585033538,53.1141047180447,3888000000.0,2482000000.0,,Sub-Saharan Africa ,Lower middle income
2016,2162000000.0,10398861981.7583,502.706475406446,20685753.0,1.65388922387806,301332480.592526,7.47340656858405,36.4881092245519,1087000000.0,2490000000.0,-24.775086505190313,Sub-Saharan Africa ,Low income
2011,2187000000.0,5422439152.10906,783.988944671672,6916474.0,3.5635147290396,728710878.416044,14.2284890680882,77.732312664143,976000000.0,1683000000.0,8.084163898117392,Sub-Saharan Africa ,Low income
2010,706000000.0,1748988400.0,5461.40735999001,320245.0,0.917977378808888,96449877.0838033,7.30038575441667,94.8581591507411,381000000.0,669000000.0,-18.76332622601279,Latin America & Caribbean ,Upper middle income
2011,191417000000.0,428954737064.057,51116.8953522042,8391643.0,3.2865791487538,22983942931.9265,17.1446473129533,105.775098372378,152560000000.0,159009000000.0,11.366606077860265,Europe & Central Asia,High income
2010,159000000.0,366887374.989696,3416.08356601207,107400.0,3.53491239189833,4661006.00282213,6.00792054193271,70.7976681214649,8000000.0,145000000.0,-11.111111111111116,East Asia & Pacific,Upper middle income
